Year,Player,team,teamId,Season,games,Champion,key,Win,lose,kills,assists,deaths,killsC,assistsC,deathsC,killsJ,assistsJ,deathsJ,kda,kdaC,ban,Avg BT,wR,Presence
2021,BrokenBlade,S04,Red,Spring,7,Irelia,39,3.0,4.0,0.0,0.0,2.0,20.0,32.0,26.0,41.0,83.0,42.0,2.9523809523809526,2.0,0.0,,0.42857142857142855,7.142857142857142
2021,Nisqy,FNC,Red,Summer,7,Irelia,39,3.0,4.0,3.0,6.0,3.0,20.0,32.0,26.0,79.0,115.0,50.0,3.88,2.0,0.0,1.0,0.42857142857142855,7.142857142857142
2021,Vetheo,MSF,Red,Spring,7,Yone,777,2.0,5.0,7.0,8.0,3.0,25.0,37.0,28.0,62.0,92.0,51.0,3.019607843137255,2.2142857142857144,0.0,,0.2857142857142857,7.142857142857142
2021,Nisqy,FNC,Red,Spring,7,Irelia,39,3.0,4.0,7.0,6.0,6.0,20.0,32.0,26.0,44.0,130.0,54.0,3.2222222222222223,2.0,0.0,,0.42857142857142855,7.142857142857142
2021,BrokenBlade,S04,Red,Summer,7,Irelia,39,3.0,4.0,1.0,1.0,4.0,20.0,32.0,26.0,35.0,68.0,47.0,2.1914893617021276,2.0,0.0,,0.42857142857142855,7.142857142857142
2021,Wunder,G2,Red,Spring,7,Irelia,39,3.0,4.0,3.0,14.0,3.0,20.0,32.0,26.0,44.0,133.0,54.0,3.2777777777777777,2.0,0.0,,0.42857142857142855,7.142857142857142
2021,Carzzy,MAD,Red,Summer,6,Draven,119,4.0,2.0,14.0,8.0,2.0,32.0,40.0,12.0,89.0,101.0,42.0,4.523809523809524,6.0,1.0,1.0,0.6666666666666666,7.142857142857142
2021,Jeskla,AST,Red,Spring,5,Caitlyn,51,1.0,4.0,2.0,2.0,3.0,18.0,19.0,10.0,80.0,64.0,55.0,2.618181818181818,3.7,2.0,,0.2,7.142857142857142
2021,Jeskla,AST,Blue,Summer,7,Ziggs,115,4.0,3.0,0.0,4.0,1.0,17.0,47.0,16.0,36.0,98.0,47.0,2.851063829787234,4.0,0.0,1.0,0.5714285714285714,7.142857142857142
2021,Patrik,XL,Blue,Summer,6,Draven,119,4.0,2.0,4.0,4.0,2.0,32.0,40.0,12.0,54.0,84.0,37.0,3.72972972972973,6.0,1.0,6.0,0.6666666666666666,7.142857142857142
2021,Hans,RGE,Blue,Summer,6,Draven,119,4.0,2.0,1.0,6.0,1.0,32.0,40.0,12.0,71.0,107.0,30.0,5.933333333333334,6.0,1.0,1.0,0.6666666666666666,7.142857142857142
2021,Jezu,SK,Red,Summer,7,Ziggs,115,4.0,3.0,4.0,8.0,1.0,17.0,47.0,16.0,49.0,73.0,37.0,3.2972972972972974,4.0,0.0,1.0,0.5714285714285714,7.142857142857142
2021,Hans,RGE,Red,Summer,7,Ziggs,115,4.0,3.0,3.0,10.0,1.0,17.0,47.0,16.0,71.0,107.0,30.0,5.933333333333334,4.0,0.0,1.0,0.5714285714285714,7.142857142857142
2021,Hans,RGE,Blue,Summer,7,Ziggs,115,4.0,3.0,4.0,6.0,2.0,17.0,47.0,16.0,71.0,107.0,30.0,5.933333333333334,4.0,0.0,,0.5714285714285714,7.142857142857142
2021,Kobbe,MSF,Blue,Summer,7,Ziggs,115,4.0,3.0,2.0,6.0,7.0,17.0,47.0,16.0,57.0,112.0,31.0,5.451612903225806,4.0,0.0,3.0,0.5714285714285714,7.142857142857142
2021,LIDER,VIT,Blue,Summer,7,Yone,777,2.0,5.0,7.0,5.0,6.0,25.0,37.0,28.0,71.0,85.0,51.0,3.0588235294117645,2.2142857142857144,0.0,,0.2857142857142857,7.142857142857142
2021,LIDER,VIT,Blue,Summer,7,Yone,777,2.0,5.0,2.0,5.0,6.0,25.0,37.0,28.0,71.0,85.0,51.0,3.0588235294117645,2.2142857142857144,0.0,,0.2857142857142857,7.142857142857142
2021,Patrik,XL,Red,Summer,6,Draven,119,4.0,2.0,6.0,12.0,0.0,32.0,40.0,12.0,54.0,84.0,37.0,3.72972972972973,6.0,1.0,6.0,0.6666666666666666,7.142857142857142
2021,Hans,RGE,Red,Summer,6,Draven,119,4.0,2.0,5.0,8.0,3.0,32.0,40.0,12.0,71.0,107.0,30.0,5.933333333333334,6.0,1.0,3.0,0.6666666666666666,7.142857142857142
2021,Patrik,XL,Red,Summer,6,Draven,119,4.0,2.0,2.0,2.0,4.0,32.0,40.0,12.0,54.0,84.0,37.0,3.72972972972973,6.0,1.0,1.0,0.6666666666666666,7.142857142857142
2021,LIDER,VIT,Red,Summer,7,Yone,777,2.0,5.0,2.0,3.0,4.0,25.0,37.0,28.0,71.0,85.0,51.0,3.0588235294117645,2.2142857142857144,0.0,,0.2857142857142857,7.142857142857142
2021,Jeskla,AST,Red,Summer,7,Ziggs,115,4.0,3.0,2.0,7.0,2.0,17.0,47.0,16.0,36.0,98.0,47.0,2.851063829787234,4.0,0.0,1.0,0.5714285714285714,7.142857142857142
